Variable / Field Name,Form Name,Form Display Name,Section Header (defunct),Allow,multipleChoice,Field Type,Field Label,"Choices, Calculations, OR Slider Labels",Field Note,Text Validation Type OR Show Slider Number,Text Validation Min,Text Validation Max,Identifier?,Branching Logic (Show field only if...),Required Field?,Custom Alignment,Question Number (surveys only),Matrix Group Name,Matrix Ranking?,Field Annotation,version
tobacco_title,tobacco,Tobacco,,,,markdown-message,## Tobacco,,,,,,,,,,,,,,
dctob001,tobacco,Tobacco,Smoking Tobacco,,,text,"### Smoking Tobacco\r\n\r\nHow old were you the very first time you ever smoked, even a puff of a cigarette, cigar, or pipe?  \r\n\r\n _Code 998 if ""always"", 999 if ""unknown""._",,,,,,,,,,,,,,
dctob003,tobacco,Tobacco,,,,text,"How old were you the very first time you ever used smokeless tobacco?  \r\n\r\n _Code 998 if ""always"", 999 if ""unknown""._",,,,,,,,,,,,,,
ctob1,tobacco,Tobacco,Current Use,autoAdvance,,radio,"### Current Use\r\n\r\nIn the past 12 months, which form of tobacco did you use the most?","1, Cigarettes | 2, Cigars | 3, Pipes | 4, Chewing Tobacco | 5, Other",,,,,,,,,,,,,
dctob010,tobacco,Tobacco,,autoAdvance,,radio,How often did you use (insert tobacco product)?,"1, Everyday or almost everyday | 2, 3-5 times per week | 3, 1-2 times per week | 4, 2-3 times per month | 5, Once per month | 6, Less than once a month | 7, Not at all | 9, Unknown",,,,,,,,LV,,,,,
dctob011,tobacco,Tobacco,,,,text,About how many did you smoke or use per day on average? \r\n\r\n _(N per day)_,,,,,,,,,,,,,,
dctob013,tobacco,Tobacco,,,,text,"How long did you smoke this much? \r\n\r\n _(N weeks, N months, N years)_",,,,,,,,,,,,,,
dctob017,tobacco,Tobacco,Past Use,autoAdvance,,radio,### Past Use\r\n\r\nWas there ever a time when you smoked/used (insert tobacco product) at least once a week?,"0, No | 1, Yes | 9, Unknown",,,,,,,,RH,,,,,
dctob018,tobacco,Tobacco,,,1,checkbox,What is the reason that you never smoked or used tobacco regularly? (Check all that apply),"1, Never had opportunity | 2, Never interested | 3, Didn't like smell | 4, Exposure to smoke from parents or other family members | 5, Concern about health risks | 6, Religious or cultural beliefs | 7, Parents told child not to smoke | 8, Not legal | 9, Unknown | 10, Other",,,,,,[dctob017] = '0',,LV,,,,,
dctob019,tobacco,Tobacco,,,,text,Specify (Other):,,,,,,,[dctob018].includes(10),,,,,,,
dctob021,tobacco,Tobacco,,,,text,What is the most number of cigarettes you ever smoked?,,,,,,,[dctob017] = '0',,,,,,,
dctob023,tobacco,Tobacco,,,,text,What is the most number of cigars or pipes you ever smoked?,,,,,,,[dctob017] = '0',,,,,,,
dctob025,tobacco,Tobacco,,,,text,How many times did you ever use chewing tobacco?,,,,,,,[dctob017] = '0',,,,,,,
ctob3,tobacco,Tobacco,,autoAdvance,,radio,"_INTERVIEWER: Participant never used tobacco weekly, END **Tobacco** Section._","1, End Section",,,,,,[dctob017] = '0',,,,,,,
dctob027,tobacco,Tobacco,,,,text,"How old were you the very first time you smoked tobacco at least once a week?   \r\n\r\n _Code 998 if ""always"", 999 if ""unknown""._",,AGE,autocomplete,,,,[ctob3] != 1,,,,,,,
ctob4,tobacco,Tobacco,,,,text,"For how long did you smoke this much? \r\n\r\n _(N weeks, N months, N years)_",,,,,,,[ctob3] != 1,,,,,,,
dctob031,tobacco,Tobacco,,autoAdvance,,radio,Was there ever a time in your life when you smoked every day?,"0, No | 1, Yes | 9, Unknown",,,,,,[ctob3] != 1,,RH,,,,,
dctob032,tobacco,Tobacco,,,,text,"If yes, How old were you the very first time you smoked tobacco everyday?  \r\n\r\n _Code 998 if ""always"", 999 if ""unknown""._",,YEARS OLD,autocomplete,,,,[dctob031] = '1',,,,,,,
ctob5,tobacco,Tobacco,,,,text,"If yes, For how long did you smoke daily or almost daily? \r\n\r\n _(N weeks, N months, N years)_",,,,,,,[dctob031] = '1',,,,,,,
ctob6,tobacco,Tobacco,Dependence Symptoms,,,markdown-message,"### Dependence Symptoms\r\n\r\nThe next questions are about some problems you may have had because of smoking/using tobacco. \r\n\r\n _INTERVIEWER: If they report both smoking and smokeless tobacco use, record symptoms for most severe._",,,,,,,[ctob3] != 1,,,,,,,
